"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","5,328.65","5,424.95","5,441.85","5,251.65","","-1.77%"
"05/22/2025","5,424.48","5,448.32","5,448.32","5,385.16","","-0.55%"
"05/21/2025","5,454.46","5,452.27","5,461.06","5,415.89","","0.00%"
"05/20/2025","5,454.65","5,430.86","5,467.28","5,423.12","","0.51%"
"05/19/2025","5,427.23","5,409.04","5,427.23","5,382.33","","-0.01%"
"05/16/2025","5,427.53","5,422.42","5,450.95","5,407.53","","0.29%"
"05/15/2025","5,412.08","5,392.32","5,412.08","5,363.52","","0.16%"
"05/14/2025","5,403.44","5,412.88","5,421.20","5,374.81","","-0.24%"
"05/13/2025","5,416.21","5,390.62","5,416.70","5,384.68","","0.44%"
"05/12/2025","5,392.36","5,319.28","5,421.61","5,319.28","","1.56%"
"05/09/2025","5,309.74","5,286.04","5,323.61","5,286.04","","0.39%"
"05/08/2025","5,288.94","5,240.23","5,304.78","5,240.23","","1.12%"
"05/07/2025","5,230.19","5,261.34","5,264.02","5,223.66","","-0.63%"
"05/06/2025","5,263.38","5,283.99","5,292.94","5,210.59","","-0.37%"
"05/05/2025","5,283.05","5,270.34","5,289.35","5,262.28","","-0.04%"
"05/02/2025","5,285.19","5,201.10","5,285.19","5,201.10","","2.42%"
"04/30/2025","5,160.22","5,162.95","5,185.30","5,105.80","","-0.03%"
"04/29/2025","5,161.90","5,176.03","5,191.68","5,138.71","","-0.17%"
"04/28/2025","5,170.49","5,163.23","5,199.30","5,163.23","","0.32%"
"04/25/2025","5,154.12","5,121.35","5,167.18","5,121.35","","0.77%"
"04/24/2025","5,114.98","5,080.59","5,116.33","5,043.45","","0.32%"
